file,line,table,verb,group,sha256,sql
worker/src/approval/claim.ts,45,operations,INSERT INTO,settlement-linked,112865c282d0ed3700ca47256a42e624ba798dd35f51a86ce463b709ad81ca63,"INSERT INTO operations (id, user_id, account_id, action, idempotency_key, state, payload_hash, created_at, updated_at)
       VALUES (?, ?, ?, ?, ?, 'claimed', ?, ?, ?)"
worker/src/approval/claim.ts,51,pending_actions,UPDATE,settlement-linked,33615680616eefbae205e4c30db756bdd5c17768be8fbbaaaaa6707b7e2cac0e,"UPDATE pending_actions SET state = 'executing', operation_id = ?, execution_started_at = ?
       WHERE id = ? AND user_id = ? AND state = 'approved' AND expires_at > ?"
worker/src/approval/claim.ts,57,_assert,INSERT INTO,other-domain,ca22b167e7f1d2f376ad31d5d450b58c3605a8331dcd571fa19393aac669eeac,"INSERT INTO _assert (x) SELECT 1 WHERE NOT EXISTS (
         SELECT 1 FROM pending_actions WHERE id = ? AND operation_id = ? AND state = 'executing')"
worker/src/approval/pending.ts,54,pending_actions,INSERT INTO,settlement-linked,acbeefcda2156545b673c14f2ea417fc21174149459db7b7d4bd80d18b81a07c,"INSERT INTO pending_actions (id, user_id, account_id, action, modifiers, payload_json, payload_hash, intent_hash, idempotency_key, summary, state, created_at, expires_at)
       VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, 'pending', ?, ?)"
worker/src/approval/pending.ts,123,pending_actions,UPDATE,settlement-linked,a03d1fe574dda922770405c37c1a526c20b9df2f6370efa5d36bbf04db88c1f8,"UPDATE pending_actions SET state = ? ${extra} WHERE id = ? AND user_id = ? AND state IN (${from.map(() => ""?"").join("","")}) AND expires_at > ?"
worker/src/approval/pending.ts,163,pending_actions,UPDATE,settlement-linked,300e9373d47af3dd8c9c1a44e8323ba8a00a7854b6bf56311edb17371da236c8,"UPDATE pending_actions SET state = ?, payload_json = NULL, summary = 'redacted', error = ?, executed_at = ? WHERE id = ? AND state = 'executing'"
worker/src/approval/pending.ts,175,pending_actions,UPDATE,settlement-linked,ce3da6fd59049f091b9bb6aaf4109c02f0970f8344c3e60dcd6ad557351c713a,"UPDATE pending_actions SET state = 'approved', approved_at = ?, approved_via = ? WHERE id = ? AND user_id = ? AND state = 'pending' AND expires_at > ?"
worker/src/approval/pending.ts,182,pending_actions,UPDATE,settlement-linked,7741f93b34b960a09e8afe1b19b1c4f85579d581ffdd4e63302344e4fecf6481,"UPDATE pending_actions SET state = 'denied', payload_json = NULL, summary = 'redacted' WHERE id = ? AND user_id = ? AND state = 'pending' AND expires_at > ?"
worker/src/approval/pending.ts,195,_assert,INSERT INTO,other-domain,65e14e02c9b81de31e6a0082469d83add61e16883eada819f16f174e10005bdc,"INSERT INTO _assert (x) SELECT 1 WHERE NOT EXISTS (
         SELECT 1 FROM pending_actions WHERE id = ? AND state = 'pending' AND expires_at > ?)"
worker/src/audit/log.ts,38,audit_log,INSERT INTO,settlement-linked,03cf37fd15f93c676bd2e046d6ecb566216b1df230840c9d0ea117c6e332c3fa,"INSERT INTO audit_log (ts, user_id, account_id, tool, action, modifiers, phase, decision, pending_id, operation_id, gmail_result_id, summary, client_hint)
     VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)"
