file,line,line_sha256,disposition,finding_ids
docs/superpowers/plans/2026-09-15-gmail-mcp-plan-6-closure-and-qualification.md,1,3467fbf90bd335d6c55cc371abbd89a36ee5c8ae50e957c83be952ff1c8444ef,structural,
docs/superpowers/plans/2026-09-15-gmail-mcp-plan-6-closure-and-qualification.md,2,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,structural,
docs/superpowers/plans/2026-09-15-gmail-mcp-plan-6-closure-and-qualification.md,3,1ffc0bed441e7a7bb1648dddc5ce32031a55e739525474a57c5f91d6b020a0fc,reviewed-no-specific-finding,
docs/superpowers/plans/2026-09-15-gmail-mcp-plan-6-closure-and-qualification.md,4,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,structural,
docs/superpowers/plans/2026-09-15-gmail-mcp-plan-6-closure-and-qualification.md,5,91631aa90543de7f563154e71bf24c40500bcd308faf5eab87147fd656bb0118,reviewed-no-specific-finding,
docs/superpowers/plans/2026-09-15-gmail-mcp-plan-6-closure-and-qualification.md,6,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,structural,
docs/superpowers/plans/2026-09-15-gmail-mcp-plan-6-closure-and-qualification.md,7,4cb3c1c97561ba2079ca2de020ad76085c12503081868d8858693527ff87bfb1,reviewed-no-specific-finding,
docs/superpowers/plans/2026-09-15-gmail-mcp-plan-6-closure-and-qualification.md,8,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,structural,
docs/superpowers/plans/2026-09-15-gmail-mcp-plan-6-closure-and-qualification.md,9,6a62763ce82c601e28918419fbba1230dea93124f83bb52b00d33e78ee12700a,reviewed-no-specific-finding,
docs/superpowers/plans/2026-09-15-gmail-mcp-plan-6-closure-and-qualification.md,10,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,structural,
docs/superpowers/plans/2026-09-15-gmail-mcp-plan-6-closure-and-qualification.md,11,305b5e21a8adacdedccaaf5f0bd5ebf09ae6f435b145ad7065ad6c20b591f64e,reviewed-no-specific-finding,
